identifier,organism,kingdom
P76308,Escherichia coli (strain K12),Bacteria
Q92G85,Rickettsia conorii (strain ATCC VR-613 / Malish 7),Bacteria
Q46797,Escherichia coli (strain K12),Bacteria
Q57831,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P75405,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
Q58949,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q58121,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q9RBS1,Ralstonia nicotianae (strain ATCC BAA-1114 / GMI1000),Bacteria
P22901,Acidithiobacillus ferrooxidans,Bacteria
Q96QU1,Homo sapiens,Metazoa
P69620,Haemophilus phage HP1 (strain HP1c1),Viruses
P0A0P6,Staphylococcus aureus (strain Mu50 / ATCC 700699),Bacteria
P92555,Arabidopsis thaliana,Viridiplantae
P52382,Human herpesvirus 6A (strain Uganda-1102),Viruses
Q57801,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P54245,Caenorhabditis elegans,Metazoa
Q89AT6,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),Bacteria
Q9UTG6,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q80H93,Severe acute respiratory syndrome coronavirus,Viruses
Q54450,Serratia marcescens,Bacteria
Q55233,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P37790,Shigella flexneri,Bacteria
Q89B42,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),Bacteria
P47803,Bos taurus,Metazoa
P53300,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9P0W8,Homo sapiens,Metazoa
P54332,Bacillus subtilis (strain 168),Bacteria
P03798,Escherichia phage T7,Viruses
Q08120,Rhizobium meliloti (strain 1021),Bacteria
O67748,Aquifex aeolicus (strain VF5),Bacteria
P12616,Actinomyces naeslundii,Bacteria
P21207,Yersinia pestis,Bacteria
P66801,not found,
Q02827,Bos taurus,Metazoa
P40464,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O67485,Aquifex aeolicus (strain VF5),Bacteria
Q52561,Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000),Bacteria
Q02481,Shewanella frigidimarina (strain NCIMB 400),Bacteria
P64002,Staphylococcus aureus (strain Mu50 / ATCC 700699),Bacteria
P54078,Mycobacterium leprae (strain TN),Bacteria
Q90839,Gallus gallus,Metazoa
P17150,Human cytomegalovirus (strain AD169),Viruses
P45312,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P36437,Chlamydomonas reinhardtii,Viridiplantae
P76165,Escherichia coli (strain K12),Bacteria
Q93SF3,Peptoclostridium acidaminophilum,Bacteria
Q01347,Human herpesvirus 6A (strain Uganda-1102),Viruses
P26328,Trypanosoma brucei brucei,Protists
P44158,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P25370,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P02584,Bos taurus,Metazoa
P42247,Bacillus subtilis (strain 168),Bacteria
P34456,Caenorhabditis elegans,Metazoa
Q9CPU4,Mus musculus,Metazoa
Q95XZ0,Caenorhabditis elegans,Metazoa
Q03607,Caenorhabditis elegans,Metazoa
O07634,Bacillus subtilis (strain 168),Bacteria
P30630,Caenorhabditis elegans,Metazoa
P56557,Homo sapiens,Metazoa
P52460,Human herpesvirus 6A (strain Uganda-1102),Viruses
Q8N8Q8,Homo sapiens,Metazoa
P54323,Chondrus crispus,Protists
P03215,Epstein-Barr virus (strain B95-8),Viruses
P41771,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),Fungi
Q7VKY2,Haemophilus ducreyi (strain 35000HP / ATCC 700724),Bacteria
Q57692,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P30420,Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19),Bacteria
P42113,Bacillus subtilis (strain 168),Bacteria
P03091,Murine polyomavirus (strain A3),Viruses
P16683,not found,
P24430,Equine herpesvirus 4 (strain 1942),Viruses
P83714,Mus musculus,Metazoa
O07402,Mycobacterium avium,Bacteria
Q9V8R9,Drosophila melanogaster,Metazoa
Q57947,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q9HAU0,Homo sapiens,Metazoa
P04867,Barley stripe mosaic virus,Viruses
Q08360,Bacillus subtilis (strain 168),Bacteria
P47734,Methylobacter marinus,Bacteria
P22184,Helianthus annuus,Viridiplantae
Q02406,Enterobacteria phage T4,Viruses
P25287,Escherichia coli,Bacteria
P14355,Human spumaretrovirus,Viruses
P47101,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P35924,Lacticaseibacillus casei,Bacteria
Q89AH5,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),Bacteria
Q03248,Rattus norvegicus,Metazoa
Q93118,Anopheles gambiae,Metazoa
O28078,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P46887,Escherichia coli (strain K12),Bacteria
Q27675,Leishmania donovani,Protists
P61109,not found,
Q58681,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P07383,Pseudomonas putida,Bacteria
P30816,Cercopithecine herpesvirus 1,Viruses
P23336,Mus musculus,Metazoa
P12301,Spinacia oleracea,Viridiplantae
Q28092,Bos taurus,Metazoa
P38081,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O28838,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P34252,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O29506,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q9FXW5,not found,
P10265,Homo sapiens,Metazoa
P0AAY4,Escherichia coli (strain K12),Bacteria
P53659,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
Q50636,not found,
P13733,Mycobacterium leprae (strain TN),Bacteria
P52528,Human herpesvirus 7 (strain JI),Viruses
P47034,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P43990,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
O29749,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q9CN84,Pasteurella multocida (strain Pm70),Bacteria
O43103,Ustilago maydis (strain 521 / FGSC 9021),Fungi
P31119,Escherichia coli (strain K12),Bacteria
Q9WUP0,Mus musculus,Metazoa
P40977,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q57733,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P0AFP3,Shigella flexneri,Bacteria
Q9ZJZ2,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
P15969,Agelenopsis aperta,Metazoa
O05441,not found,
P50832,Bacillus subtilis (strain 168),Bacteria
P13311,Enterobacteria phage T4,Viruses
Q10966,not found,
P38177,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O83309,Treponema pallidum (strain Nichols),Bacteria
P0AAV2,Escherichia coli O157:H7,Bacteria
P53841,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P76575,Escherichia coli (strain K12),Bacteria
O83731,Treponema pallidum (strain Nichols),Bacteria
O30332,Cupriavidus necator (strain ATCC 17699 / DSM 428 / KCTC 22496 / NCIMB 10442 / H16 / Stanier 337),Bacteria
P13837,Paramecium primaurelia,Protists
O34621,Bacillus subtilis (strain 168),Bacteria
O29560,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q9RFD3,Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.),Bacteria
P14728,not found,
P33180,Rhizobium meliloti,Bacteria
P47558,Mycoplasma genitalium (strain ATCC 33530 / DSM 19775 / NCTC 10195 / G37),Bacteria
P41890,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q02645,Drosophila melanogaster,Metazoa
P42592,Escherichia coli (strain K12),Bacteria
P62608,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
P82107,Hirudo medicinalis,Metazoa
Q09266,Caenorhabditis elegans,Metazoa
Q8GNT2,Acinetobacter johnsonii,Bacteria
P58359,Escherichia coli O157:H7,Bacteria
P33783,Escherichia coli,Bacteria
P20020,Homo sapiens,Metazoa
Q9VHR8,Drosophila melanogaster,Metazoa
P64923,not found,
Q9C8Z4,Arabidopsis thaliana,Viridiplantae
O83433,Treponema pallidum (strain Nichols),Bacteria
P08452,Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1),Bacteria
Q57867,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q9PR32,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
Q06819,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q05245,Mycobacterium phage L5,Viruses
Q82GP1,Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),Bacteria
Q9ZAG3,Rhodococcus erythropolis,Bacteria
Q08794,Bacillus subtilis (strain 168),Bacteria
Q9PR96,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
Q09799,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
O43531,not found,
P56937,Homo sapiens,Metazoa
O28985,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q8TCZ9,not found,
P33701,Rhizobium meliloti (strain 1021),Bacteria
Q96KS9,Homo sapiens,Metazoa
P04219,Mus musculus,Metazoa
Q09282,Caenorhabditis elegans,Metazoa
P28953,Equine herpesvirus 1 (strain Ab4p),Viruses
P94560,Bacillus subtilis (strain 168),Bacteria
P18179,Staphylococcus aureus,Bacteria
Q9TTJ5,Bos taurus,Metazoa
Q3J170,Cereibacter sphaeroides (strain ATCC 17023 / DSM 158 / JCM 6121 / CCUG 31486 / LMG 2827 / NBRC 12203 / NCIMB 8253 / ATH 2.4.1.),Bacteria
P36190,Ceratitis capitata,Metazoa
P27140,Arabidopsis thaliana,Viridiplantae
P26608,Escherichia coli (strain K12),Bacteria
Q9U2T3,Caenorhabditis elegans,Metazoa
O34887,Bacillus subtilis (strain 168),Bacteria
Q89A56,Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp),Bacteria
P33680,Mus musculus,Metazoa
P0A9R3,Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Bacteria
Q04975,Salmonella typhi,Bacteria
P38281,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q10075,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P20184,Streptomyces fradiae,Bacteria
Q8L5Y9,Arabidopsis thaliana,Viridiplantae
P33251,Mycoplasmoides gallisepticum (strain R(low / passage 15 / clone 2)),Bacteria
P13090,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P53926,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P12827,Autographa californica nuclear polyhedrosis virus,Viruses
P74854,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
P64669,not found,
P43997,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P52127,Escherichia coli (strain K12),Bacteria
O95158,Homo sapiens,Metazoa
P05678,Emericella nidulans,Fungi
P39232,Enterobacteria phage T4,Viruses
O69583,Mycobacterium leprae (strain TN),Bacteria
Q13316,Homo sapiens,Metazoa
O67609,Aquifex aeolicus (strain VF5),Bacteria
P14727,Xanthomonas euvesicatoria,Bacteria
O67453,Aquifex aeolicus (strain VF5),Bacteria
Q60278,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P20202,Sulfolobus spindle-shape virus 1,Viruses
Q45130,Alkalihalophilus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4),Bacteria
O30138,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P36065,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q8EEN9,Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1),Bacteria
Q9I106,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
P48238,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P19720,Murine adenovirus A serotype 1,Viruses
Q05266,Mycobacterium phage L5,Viruses
O32333,Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052),Bacteria
P64176,Escherichia coli O157:H7,Bacteria
O28561,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
Q82BX4,Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680),Bacteria
Q02224,Homo sapiens,Metazoa
P44276,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9ZDX7,Rickettsia prowazekii (strain Madrid E),Bacteria
P57368,Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS),Bacteria
Q10095,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P56820,Arabidopsis thaliana,Viridiplantae
P34206,African swine fever virus (isolate Tick/Malawi/Lil 20-1/1983),Viruses
P53071,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q57914,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q02854,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
O83744,Treponema pallidum (strain Nichols),Bacteria
P14107,Salmonella phage P22,Viruses
P54445,Bacillus subtilis (strain 168),Bacteria
P25728,Escherichia coli (strain K12),Bacteria
Q9T1P7,Acyrthosiphon pisum secondary endosymbiont phage 1,Viruses
O43151,Homo sapiens,Metazoa
P11634,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
Q9VNA8,Drosophila melanogaster,Metazoa
Q04502,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9V576,Drosophila melanogaster,Metazoa
P69608,Bovine coronavirus (strain F15),Viruses
P09612,Bunyavirus La Crosse (isolate Aedes triseriatus/United States/L74/1974),Viruses
P29326,Hepatitis E virus genotype 1 (isolate Human/Burma),Viruses
P05195,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),Fungi
P68475,Vaccinia virus (strain Copenhagen),Viruses
Q9BXN1,Homo sapiens,Metazoa
P34459,Caenorhabditis elegans,Metazoa
P02989,Escherichia coli,Bacteria
P35983,Canine adenovirus serotype 2,Viruses
O83550,Treponema pallidum (strain Nichols),Bacteria
Q09742,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P64743,not found,
P46666,Zea mays,Viridiplantae
P36109,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P40196,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
Q9JJ93,Mus musculus,Metazoa
Q09790,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P59026,Clostridium haemolyticum,Bacteria
Q9LXB4,Arabidopsis thaliana,Viridiplantae
P04382,Enterobacteria phage T4,Viruses
O54101,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P27391,Enterobacteria phage PRD1,Viruses
P0A3U6,Agrobacterium fabrum (strain C58 / ATCC 33970),Bacteria
P21077,Vaccinia virus (strain Copenhagen),Viruses
P03626,Pseudomonas phage Pf3,Viruses
Q05054,Rice dwarf virus (isolate Akita),Viruses
O67672,Aquifex aeolicus (strain VF5),Bacteria
P40511,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P31624,Sheep pulmonary adenomatosis virus,Viruses
P38273,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q57734,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q57990,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q58477,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P39230,Enterobacteria phage T4,Viruses
O83057,Treponema pallidum (strain Nichols),Bacteria
O95825,Homo sapiens,Metazoa
Q24185,Drosophila melanogaster,Metazoa
Q9H0R1,Homo sapiens,Metazoa
P38146,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P08976,Euglena gracilis,Protists
P37556,Bacillus subtilis (strain 168),Bacteria
P33419,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q01962,Komagataella pastoris,Fungi
Q98EB3,Mesorhizobium japonicum (strain LMG 29417 / CECT 9101 / MAFF 303099),Bacteria
Q01900,Zea mays,Viridiplantae
P32553,African horse sickness virus 4,Viruses
Q57778,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P03839,Escherichia coli,Bacteria
P20562,Vaccinia virus (strain Copenhagen),Viruses
O28069,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P25959,Bacillus subtilis (strain 168),Bacteria
P40163,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O60756,Homo sapiens,Metazoa
Q08979,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q99JF5,Mus musculus,Metazoa
P39236,Enterobacteria phage T4,Viruses
Q9WU72,Mus musculus,Metazoa
P30524,Hordeum vulgare,Viridiplantae
Q04671,Homo sapiens,Metazoa
P31125,Escherichia coli (strain K12),Bacteria
P16724,Human cytomegalovirus (strain AD169),Viruses
P54638,Dictyostelium discoideum,Protists
P27211,Tobacco necrosis virus (strain D),Viruses
P26305,Periplaneta americana,Metazoa
P25130,Pseudomonas phage Pf1,Viruses
P39983,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P40082,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P22535,Enterobacteria phage PRD1,Viruses
P23449,Bacillus subtilis (strain 168),Bacteria
P03859,Staphylococcus aureus,Bacteria
P53354,Aedes aegypti,Metazoa
O83131,Treponema pallidum (strain Nichols),Bacteria
O83685,Treponema pallidum (strain Nichols),Bacteria
P64749,not found,
Q04893,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q43848,Solanum tuberosum,Viridiplantae
Q8TU04,Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A),Archaea
P17960,Trypanosoma brucei brucei,Protists
P38843,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q09733,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
Q13099,Homo sapiens,Metazoa
P47152,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9P144,not found,
Q57889,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
Q9CPD6,Pasteurella multocida (strain Pm70),Bacteria
Q9P6M2,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P30144,Pseudoalteromonas haloplanktis,Bacteria
P18193,Treponema pallidum (strain Nichols),Bacteria
Q87CU3,Xylella fastidiosa (strain Temecula1 / ATCC 700964),Bacteria
P38083,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q09358,Caenorhabditis elegans,Metazoa
P47212,Mus musculus,Metazoa
P06200,Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1),Bacteria
P19292,Thermoproteus tenax virus 1 (strain KRA1),Viruses
P75384,Mycoplasma pneumoniae (strain ATCC 29342 / M129 / Subtype 1),Bacteria
P56846,not found,
P27057,Solanum lycopersicum,Viridiplantae
Q06565,not found,
P87054,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P45333,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q02600,Influenza A virus (strain A/Aichi/2/1968 H3N2),Viruses
O31454,Bacillus subtilis (strain 168),Bacteria
P75620,Escherichia coli (strain K12),Bacteria
P51092,Petunia hybrida,Viridiplantae
Q61838,Mus musculus,Metazoa
Q05627,Clostridium beijerinckii (strain ATCC 51743 / NCIMB 8052),Bacteria
O64236,Mycobacterium phage D29,Viruses
Q09488,Caenorhabditis elegans,Metazoa
Q00852,Clostridium pasteurianum,Bacteria
Q45760,Bacillus thuringiensis subsp. darmstadiensis,Bacteria
P22536,Enterobacteria phage PRD1,Viruses
O28145,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P53120,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P47170,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
P20862,Escherichia coli,Bacteria
P48417,Linum usitatissimum,Viridiplantae
Q03439,Bacillus sp. (strain PS3),Bacteria
P42506,Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003),Bacteria
P26396,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
Q9PRB3,Ureaplasma parvum serovar 3 (strain ATCC 700970),Bacteria
Q9LXX6,Arabidopsis thaliana,Viridiplantae
P13310,Enterobacteria phage T4,Viruses
P20570,Vaccinia virus (strain Copenhagen),Viruses
P44296,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q9VJE5,Drosophila melanogaster,Metazoa
Q9V8M5,Drosophila melanogaster,Metazoa
O83978,Treponema pallidum (strain Nichols),Bacteria
Q02122,Poplar mosaic virus (isolate ATCC Pv275),Viruses
P45914,Bacillus subtilis (strain 168),Bacteria
P05842,Bombyx mori densovirus,Viruses
P64945,not found,
P26417,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),Bacteria
Q09389,Caenorhabditis elegans,Metazoa
O63066,Zea mays,Viridiplantae
P64621,Escherichia coli O157:H7,Bacteria
P58011,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),Bacteria
P45863,Bacillus subtilis (strain 168),Bacteria
P53209,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
Q9P7Q5,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
O67286,Aquifex aeolicus (strain VF5),Bacteria
Q9CMQ6,Pasteurella multocida (strain Pm70),Bacteria
Q9ZL91,Helicobacter pylori (strain J99 / ATCC 700824),Bacteria
Q46909,Escherichia coli (strain K12),Bacteria
Q7WY67,Bacillus subtilis (strain 168),Bacteria
P12533,Murine adenovirus A serotype 1,Viruses
Q89DB4,Bradyrhizobium diazoefficiens (strain JCM 10833 / BCRC 13528 / IAM 13628 / NBRC 14792 / USDA 110),Bacteria
Q48264,Helicobacter pylori,Bacteria
Q9AEQ5,Brucella abortus biovar 1 (strain 9-941),Bacteria
O43261,Homo sapiens,Metazoa
O51173,Borreliella burgdorferi (strain ATCC 35210 / DSM 4680 / CIP 102532 / B31),Bacteria
Q8ED69,Shewanella oneidensis (strain ATCC 700550 / JCM 31522 / CIP 106686 / LMG 19005 / NCIMB 14063 / MR-1),Bacteria
P44942,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P45285,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
P64761,not found,
O86737,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),Bacteria
P44651,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),Bacteria
Q03650,Trypanosoma brucei brucei,Protists
P0A614,not found,
P93277,Arabidopsis thaliana,Viridiplantae
Q9X5U0,Streptomyces lavendulae,Bacteria
Q04769,Lactococcus phage LL-H,Viruses
O28575,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),Archaea
P45922,Bacillus subtilis (strain 168),Bacteria
P21562,not found,
P56621,Cupriavidus metallidurans (strain ATCC 43123 / DSM 2839 / NBRC 102507 / CH34),Bacteria
P35156,Bacillus subtilis (strain 168),Bacteria
Q9K6A3,Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125),Bacteria
Q9KWM8,Pseudomonas syringae pv. actinidiae,Bacteria
P20212,Sulfolobus spindle-shape virus 1,Viruses
Q9M630,Physcomitrium patens,Viridiplantae
Q9TV52,Oryctolagus cuniculus,Metazoa
P37746,Escherichia coli (strain K12),Bacteria
P38784,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),Fungi
O43310,Homo sapiens,Metazoa
Q58965,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
P75961,Escherichia coli (strain K12),Bacteria
P74442,Synechocystis sp. (strain PCC 6803 / Kazusa),Bacteria
P03853,Escherichia coli,Bacteria
Q8TVI1,Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938),Archaea
Q47279,Pectobacterium carotovorum subsp. carotovorum,Bacteria
O94309,Schizosaccharomyces pombe (strain 972 / ATCC 24843),Fungi
P05463,Enterobacteria phage P4,Viruses
Q00994,Homo sapiens,Metazoa
O67915,Aquifex aeolicus (strain VF5),Bacteria
P27873,Rhizobium rhizogenes,Bacteria
P37471,Bacillus subtilis (strain 168),Bacteria
P07078,Enterobacteria phage T4,Viruses
P16793,Human cytomegalovirus (strain AD169),Viruses
P80484,Amphidinium carterae,Protists
Q57837,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440),Archaea
